2202 videos to process
[54/2202] fetched=48 failed=2 skipped=0
[107/2202] fetched=96 failed=4 skipped=0
[157/2202] fetched=140 failed=10 skipped=0
[211/2202] fetched=181 failed=19 skipped=0
[261/2202] fetched=225 failed=25 skipped=0
[312/2202] fetched=274 failed=26 skipped=0
[364/2202] fetched=322 failed=28 skipped=0
[414/2202] fetched=372 failed=28 skipped=0
[466/2202] fetched=418 failed=32 skipped=0
[518/2202] fetched=464 failed=36 skipped=0
[568/2202] fetched=509 failed=41 skipped=0
[620/2202] fetched=553 failed=47 skipped=0
[672/2202] fetched=600 failed=50 skipped=0
[724/2202] fetched=644 failed=56 skipped=0
[780/2202] fetched=688 failed=62 skipped=0
[830/2202] fetched=735 failed=65 skipped=0
[882/2202] fetched=777 failed=73 skipped=0
[933/2202] fetched=823 failed=77 skipped=0
[986/2202] fetched=864 failed=86 skipped=0
[1041/2202] fetched=908 failed=92 skipped=0
[1092/2202] fetched=956 failed=94 skipped=0
[1144/2202] fetched=1001 failed=99 skipped=0
[1195/2202] fetched=1044 failed=106 skipped=0
[1246/2202] fetched=1088 failed=112 skipped=0
[1297/2202] fetched=1128 failed=122 skipped=0
[1352/2202] fetched=1171 failed=129 skipped=0
[1403/2202] fetched=1214 failed=136 skipped=0
[1455/2202] fetched=1247 failed=153 skipped=0
[1506/2202] fetched=1290 failed=160 skipped=0
[1557/2202] fetched=1326 failed=174 skipped=0
[1607/2202] fetched=1366 failed=184 skipped=0
[1660/2202] fetched=1401 failed=199 skipped=0
[1710/2202] fetched=1441 failed=209 skipped=0
[1764/2202] fetched=1475 failed=225 skipped=0
[1817/2202] fetched=1516 failed=234 skipped=0
[1868/2202] fetched=1554 failed=246 skipped=0
[1920/2202] fetched=1596 failed=254 skipped=0
[1971/2202] fetched=1632 failed=268 skipped=0
[2022/2202] fetched=1671 failed=279 skipped=0
[2072/2202] fetched=1705 failed=295 skipped=0
[2122/2202] fetched=1742 failed=308 skipped=0
[2172/2202] fetched=1781 failed=319 skipped=0
Done. fetched=1802 failed=328 skipped=0
